Word,Score
bitcoin,0.003082150420158481
crypto,0.002697116296927443
blockchain,0.0009490413719293596
btc,0.0028920890167232803
new,0.0026955432432781085
amp,0.0016256975239995152
one,0.0028929877033447246
like,0.001878408033978634
people,0.0025264666852188537
time,0.0033632948360451864
get,0.0025403095544973
us,0.003333237472082111
think,0.004197598099436826
market,0.002695692321534583
first,0.002087988361059127
cryptocurrency,0.0024265880943809414
today,0.0031117061831651177
price,0.0021038913730540257
buy,0.002287814059822372
see,0.0028671289213710116
money,0.0031023058498626634
1,0.0026049991019454592
would,0.00114335641753493
great,0.0011607367250154662
good,0.0033545579164891517
itxe2x80x99s,0.0035008092654255584
it,0.0028770089622497975
ethereum,0.001513252311693093
world,0.004133458039513953
going,0.0047093540003358475
know,0.003707250259034617
gold,0.0028067061729760913
use,0.003044019716811071
years,0.0031394911737097084
im,0.002715072694379547
bitcoins,0.0024637378357892335
thanks,0.0008234269014367716
year,0.0030056602700874947
coindesk,0.001989855419804228
want,0.0003120208385223391
